"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT04","WT06","WT08","WT11","WT13","WT14","WT16","WT17","WT18","WT19","WT22"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03-13","9.40"," 0712"," 0717","0.00","0.0","0",,"53","41","  270","  280","21.0","33.1",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03-14","5.14"," 2021"," 0801","0.00","0.0","0",,"45","37","   30","  290","12.1","17.0",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03-15","5.14"," 1844"," 2016","0.00","0.0","0",,"47","34","  130","  160","14.1","17.9",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03-16","2.91"," 0805"," 0804","0.56","0.0","0",,"57","38","   60","   50","17.0","23.0","    1",,,,,,"    1",,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03-17","5.59"," 2322"," 2321","0.00","0.0","0",,"65","44","  240","  240","14.1","23.9",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03-18","8.05"," 1358"," 1211","0.00","0.0","0",,"77","51","  280","  270","21.9","33.1",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03-19","8.72"," 0602"," 1621","0.00","0.0","0",,"59","38","  290","  320","17.9","23.9",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03-20","6.49"," 2337"," 0712","0.00","0.0","0",,"51","34","  180","   30","14.1","21.0",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03-21","4.92"," 0842"," 0842","0.44","0.0","0",,"45","36","  160","  130","15.0","21.9","    1",,,,,,"    1",,"    1",,"    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03-22","8.50"," 1406"," 1351","0.00","0.0","0",,"50","40","  290","  290","16.1","25.1","    1",,,,,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03-23","6.71"," 2137"," 2136","0.87","0.0","0",,"40","32","   50","   60","17.0","23.0","    1",,,,,,"    1",,"    1",,"    1","    1",
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03-24","6.49"," 0025"," 1132","0.09","1.0","1",,"44","30","   80","  340","15.0","21.0","    1",,,,,,"    1",,,,"    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03-25","6.93"," 1609"," 1737","0.00","0.0","0",,"42","28","  280","  270","16.1","21.9",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03-26","8.95"," 1529"," 1508","0.00","0.0","0",,"40","26","  270","  290","16.1","28.0",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03-27","8.50"," 2342"," 1932","0.00","0.0","0",,"45","28","  300","  310","17.0","28.0",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03-28","9.40"," 2234"," 0025","0.00","0.0","0",,"45","26","  300","  270","17.0","29.1",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03-29","7.83"," 1538"," 1702","0.00","0.0","0",,"49","31","  290","  290","16.1","23.9",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03-30","4.47"," 1612"," 1617","0.01","0.0","0",,"53","36","  160","  170","15.0","19.9",,,,,"    1",,,,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03-31","10.74"," 1724"," 1723","0.13","0.0","0",,"43","37","   60","   70","21.0","28.0","    1",,,,"    1",,"    1",,"    1",,,"    1",
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04-01","7.61"," 1814"," 2013","0.18","0.0","0",,"44","35","  270","  270","17.0","23.0","    1",,,,,,"    1",,"    1",,,"    1",
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04-02","10.29"," 1315"," 1503","0.00","0.0","0",,"55","38","  270","  280","17.9","25.1",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04-03","8.05"," 1333"," 1125","0.00","0.0","0",,"58","42","  290","  290","17.0","29.1",,,,,,,,,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04-04","6.71"," 0858"," 0750","0.06","0.0","0",,"63","43","  160","  160","17.0","23.9",,,,,,,,,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04-05","10.51"," 1021"," 1348","0.16","0.0","0",,"67","41","  290","  310","21.0","33.1","    1",,,,"    1",,"    1",,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04-06","6.71"," 1302"," 1302","0.09","0.0","0",,"55","38","  240","  230","17.9","23.9",,,,,"    1",,,,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04-07","6.49"," 0832"," 0831","0.02","0.0","0",,"52","42","   60","   40","16.1","21.9",,,,,,,,,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04-08","4.47"," 0927"," 1541","0.00","0.0","0",,"49","42","   60","  200","13.0","16.1",,,,,"    1",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04-09","4.92"," 1604"," 1343","0.00","0.0","0",,"58","40","  130","  140","12.1","16.1","    1",,,,"    1",,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04-10","4.03"," 1811"," 2201","0.00","0.0","0",,"56","46","  150","  140","13.0","16.1",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04-11","6.93"," 2355"," 0545","0.00","0.0","0",,"81","50","  250","  240","14.1","21.9","    1",,,,"    1",,"    1",,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04-12","10.74"," 2346"," 2345","1.09","0.0","0",,"72","45","   50","   60","25.9","33.1","    1",,,,,,"    1",,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04-13","11.86"," 0754"," 0754","0.38","0.0","0",,"50","43","   60","   60","32.0","40.0","    1",,,,,,"    1",,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04-14","5.82"," 2318"," 2317","0.00","0.0","0",,"69","48","   30","   30","16.1","28.0",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04-15","9.62"," 0736"," 0735","0.00","0.0","0",,"56","41","   60","   60","21.9","28.0",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04-16","12.30"," 1623"," 1632","1.45","0.0","0",,"55","41","   90","  110","23.9","38.9","    1",,,,"    1",,"    1",,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04-17","9.40"," 0015"," 1535","0.33","0.0","0",,"61","50","  170","  250","21.9","34.9","    1",,,,,,"    1",,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04-18","6.93"," 1732"," 1752","0.00","0.0","0",,"63","47","  170","  210","14.1","23.0",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04-19","6.26"," 2346"," 2345","0.03","0.0","0",,"53","47","   70","   60","16.1","21.9","    1",,,,,,"    1",,"    1",,,,
